ENCERRAMENTO;UF;MUNICIPIO;QTE;ATIVIDADE
01/04/2021;PR;MARINGA;1;REMANEJAMENTO - BL E VOIP E IPTV
01/04/2021;PR;PONTA GROSSA;1;REMANEJAMENTO - BL
01/04/2021;RJ;ARMACAO DOS BUZIOS;1;REMANEJAMENTO - BL
01/04/2021;RJ;DUQUE DE CAXIAS;6;REMANEJAMENTO - BL E VOIP
01/04/2021;RJ;NILOPOLIS;3;REMANEJAMENTO - BL E VOIP
01/04/2021;RJ;TERESOPOLIS;1;REMANEJAMENTO - BL E VOIP
01/04/2021;RO;PORTO VELHO;3;REMANEJAMENTO - BL
01/04/2021;RS;ALVORADA;1;REMANEJAMENTO - VOIP
01/04/2021;RS;PORTO ALEGRE;1;REMANEJAMENTO - BL E VOIP E IPTV
01/04/2021;RS;SAO LEOPOLDO;1;REMANEJAMENTO - BL
01/04/2021;SC;BRUSQUE;2;REMANEJAMENTO - BL
01/04/2021;SC;CHAPECO;1;REMANEJAMENTO - BL E VOIP
01/05/2021;BA;SALVADOR;10;REMANEJAMENTO - BL E VOIP
01/05/2021;BA;VITORIA DA CONQUISTA;1;REMANEJAMENTO - BL E VOIP
01/01/2022;RJ;RIO DE JANEIRO;2;REMANEJAMENTO - BL E VOIP
01/02/2021;BA;SALVADOR;2;REMANEJAMENTO - BL
01/02/2021;CE;FORTALEZA;4;REMANEJAMENTO - BL
01/02/2021;MG;BETIM;1;REMANEJAMENTO - BL
01/02/2021;MG;CONTAGEM;1;REMANEJAMENTO - BL E VOIP
01/02/2021;MG;DIVINOPOLIS;1;REMANEJAMENTO - BL E VOIP
01/02/2021;MG;JUIZ DE FORA;1;REMANEJAMENTO - BL E VOIP E IPTV
01/02/2021;MG;UBA;1;REMANEJAMENTO - BL E VOIP
01/02/2021;MS;DOURADOS;2;REMANEJAMENTO - BL E VOIP
01/02/2021;MT;CUIABA;3;REMANEJAMENTO - BL E VOIP
01/02/2021;PA;BELEM;4;REMANEJAMENTO - BL E VOIP
01/02/2021;PE;PAULISTA;2;REMANEJAMENTO - BL E VOIP
01/02/2021;PE;RECIFE;1;REMANEJAMENTO - BL
01/02/2021;PR;FOZ DO IGUACU;1;REMANEJAMENTO - BL E VOIP
01/02/2021;PR;SAO JOSE DOS PINHAIS;3;REMANEJAMENTO - BL
01/02/2021;RJ;ITAGUAI;4;REMANEJAMENTO - BL E VOIP
